Date,Entries / Debit,Entries / Credit,Journal,Entries / Name,Entries / Account,Period
2013-08-30,61.54,,Bank,BANKCARD-8566 BTOT DEP 130829 518089424227932 ANIMAL ELEMENT,10002 Bank,08/2013
2013-08-29,,276.1,Bank,Animal Element 3104000256 130828 100145976375 Animal Element 0,10002 Bank,08/2013
2013-08-29,,594.95,Bank,BANKCARD-8566 MTOT DEP 130828 518089424227932 ANIMAL ELEMENT,10002 Bank,08/2013
2013-08-28,370,,Bank,BILL PAY Brian Drummond ON-LINE No Account Number ON 08-28,10002 Bank,08/2013
2013-08-28,,61.54,Bank,BANKCARD-8566 MTOT DEP 130827 518089424227932 ANIMAL ELEMENT,10002 Bank,08/2013
2013-08-28,,1168.47,Bank,Animal Element 3104000256 130827 100145850900 Animal Element 0,10002 Bank,08/2013
2013-08-27,3000,,Bank,WF Direct Pay-Payment- Tran ID DP038384976,10002 Bank,08/2013
2013-08-27,,152.9,Bank,BANKCARD-8566 MTOT DEP 130826 518089424227932 ANIMAL ELEMENT,10002 Bank,08/2013
2013-08-27,,590.28,Bank,Animal Element 3104000256 130826 100145627646 Animal Element 0,10002 Bank,08/2013
2013-08-27,,1039.88,Bank,Animal Element 3104000256 130826 100145552319 Animal Element 0,10002 Bank,08/2013
2013-08-27,,1998.58,Bank,Animal Element 3104000256 130826 100145726858 Animal Element 0,10002 Bank,08/2013
2013-08-26,55.56,,Bank,PAYPAL INST XFER 130824 4X4J27DKTWC6L ANIMAL ELEMENT,10002 Bank,08/2013
2013-08-26,83.44,,Bank,PAYPAL INST XFER 130826 4X4J27DRX2PTE ANIMAL ELEMENT,10002 Bank,08/2013
2013-08-26,200,,Bank,VARUN KUMAR IAT PAYPAL 130826 J2222223L3ZXA ANIMAL ELEMENT,10002 Bank,08/2013
2013-08-26,,417.17,Bank,BANKCARD-8566 MTOT DEP 130823 518089424227932 ANIMAL ELEMENT,10002 Bank,08/2013
2013-08-23,176,,Bank,NAVRANG OZA IAT PAYPAL 130823 J2222223JJQJJ ANIMAL ELEMENT,10002 Bank,08/2013
2013-08-23,163.77,,Bank,BILL PAY UNISHIPPERS ON-LINE xxxxxx18731 ON 08-23,10002 Bank,08/2013
2013-08-23,,260.87,Bank,BANKCARD-8566 MTOT DEP 130822 518089424227932 ANIMAL ELEMENT,10002 Bank,08/2013
2013-08-22,99,,Bank,CHECK CRD PURCHASE 08/21 ROCKET WEB 855-624-3686 IL 425907XXXXXX3535 083232793587721 ?MCC=5045,10002 Bank,08/2013
2013-08-22,,325.81,Bank,BANKCARD-8566 MTOT DEP 130821 518089424227932 ANIMAL ELEMENT,10002 Bank,08/2013
2013-08-21,,181.62,Bank,BANKCARD-8566 BTOT DEP 130820 518089424227932 ANIMAL ELEMENT,10002 Bank,08/2013
2013-08-21,,260.7,Bank,Animal Element 3104000256 130820 100145079260 Animal Element 0,10002 Bank,08/2013
2013-08-20,49.54,,Bank,PAYPAL INST XFER 130820 4X4J27D69TNQN ANIMAL ELEMENT,10002 Bank,08/2013
2013-08-20,587.5,,Bank,BILL PAY APP GLOBAL INC. ON-LINE No Account Number ON 08-20,10002 Bank,08/2013
2013-08-20,,87.8,Bank,BANKCARD-8566 MTOT DEP 130819 518089424227932 ANIMAL ELEMENT,10002 Bank,08/2013
2013-08-20,,1414.65,Bank,Animal Element 3104000256 130819 100144861207 Animal Element 0,10002 Bank,08/2013
2013-08-20,,1815.33,Bank,Animal Element 3104000256 130819 100144955781 Animal Element 0,10002 Bank,08/2013
2013-08-19,2775,,Bank,WF Direct Pay-Payment- Tran ID DP038150556,10002 Bank,08/2013
2013-08-19,15,,Bank,RECUR DEBIT CRD PMT08/18 PAYPAL *TRAVELINGM 402-935-7733 NC 425907XXXXXX3535 083230414781616 ?MCC=7311,10002 Bank,08/2013
2013-08-19,,99.45,Bank,BANKCARD-8566 MTOT DEP 130818 518089424227932 ANIMAL ELEMENT,10002 Bank,08/2013
