Rcdate,Track,Rcno,Rctime,Tab,Horse,Rat
Monday 2nd Sep,Wagga,1,04:58AM,3,Hammer'em,100
Monday 2nd Sep,Wagga,1,04:58AM,8,Wild Win,75
Monday 2nd Sep,Wagga,1,04:58AM,10,Wide Eyed,59
Monday 2nd Sep,Wagga,1,04:58AM,2,Entree Time,30
Monday 2nd Sep,Wagga,1,04:58AM,4,Jack I Am,18
Monday 2nd Sep,Wagga,1,04:58AM,1,Black Canyon,0
Monday 2nd Sep,Wagga,1,04:58AM,5,Outback Wanderer,0
Monday 2nd Sep,Wagga,1,04:58AM,6,Schoona,0
Monday 2nd Sep,Wagga,1,04:58AM,7,Vindough Boy,0
Monday 2nd Sep,Wagga,1,04:58AM,9,Athlone River,0
Monday 2nd Sep,Wagga,2,05:33AM,2,Charge to Bank,100
Monday 2nd Sep,Wagga,2,05:33AM,10,Zakia,86
Monday 2nd Sep,Wagga,2,05:33AM,6,Mrs Macgillycuddy,70
Monday 2nd Sep,Wagga,2,05:33AM,4,Impella,66
Monday 2nd Sep,Wagga,2,05:33AM,1,Cash for Kristy,50
Monday 2nd Sep,Wagga,2,05:33AM,3,Ecstatic,40
Monday 2nd Sep,Wagga,2,05:33AM,5,Marasa,0
Monday 2nd Sep,Wagga,2,05:33AM,7,Next Door to Alice,0
Monday 2nd Sep,Wagga,2,05:33AM,8,Princess Wings,0
Monday 2nd Sep,Wagga,2,05:33AM,9,Shaft Millennium,0
Monday 2nd Sep,Wagga,2,05:33AM,11,Ishshah,0
Monday 2nd Sep,Wagga,2,05:33AM,12,Polo Princess,0
Monday 2nd Sep,Wagga,3,06:08AM,2,Sarona Downs,100
Monday 2nd Sep,Wagga,3,06:08AM,1,De Belin,89
Monday 2nd Sep,Wagga,3,06:08AM,4,Back to the Bar,67
Monday 2nd Sep,Wagga,3,06:08AM,3,Kareela Queen,57
Monday 2nd Sep,Wagga,3,06:08AM,5,Scafata,45
Monday 2nd Sep,Wagga,3,06:08AM,6,Balfours Day,33
Monday 2nd Sep,Wagga,3,06:08AM,7,I Mattah,32
Monday 2nd Sep,Wagga,3,06:08AM,8,Evasive Action,13
