name	description
c#	a multi-paradigm programming language encompassing strong typing, imperative, declarative, functional, generic, object-oriented (class-based), and component-oriented programming disciplines.
java	Java (not to be confused with JavaScript) is an object-oriented language and runtime environment (JRE). Java programs are compiled to bytecode and run in a virtual machine (JVM).
php	an open-source server-side scripting language widely used in web development. Use this tag for questions about PHP classes, methods, functions, syntax and use.
javascript	a dynamically-typed language commonly used for client-side scripting. Use this tag for questions regarding ECMAScript and its dialects/implementations (excluding ActionScript). Unless a 
android	Google's software stack for mobile devices. Please use the Android-specific tags such as [android-intent], not [intent]. For non-developer questions, see http://android.stackexchange.com.
jquery	a cross-browser JavaScript library that facilitates DOM traversal, event handling, animation and AJAX interactions.
c++	a widely-used, statically-typed, free-form, compiled, multi-paradigm, multi-level, imperative, general-purpose, object-oriented programming language based on C.
python	a dynamically and strongly typed programming language whose design philosophy emphasizes code readability. Two significantly different versions of Python (2 and 3) are in use. Please mention
html	the principal markup language used for structuring web pages and formatting content. The most recent iteration of HTML is HTML5.
asp.net	a web application framework developed by Microsoft to allow programmers to build dynamic web sites and web applications. 
mysql	an open-source, relational database management system.
iphone	"Specific to Apple's iPhone and/or iPod touch, but inapplicable to iPad. For questions not dependent on hardware, use the ""iOS"" tag. Another tag to consider is ""cocoa-touch"" (but not ""cocoa""). Please r"
ios	Apple's operating system for mobile devices, such as the iPhone, iPod touch, iPad and Apple TV (2nd generation and up). It shares a lot with Mac OS X, but is optimized for touch-based interface
.net	a software framework designed mainly for the Microsoft Windows operating system. It includes an implementation of the Base Class Library, Common Language Runtime (commonly referr
css	a language used to control the visual presentation of HTML and XML documents including (but not limited to) colors, layout and fonts.
sql	a language for querying databases. Questions should include code examples and table structure. This tag refers to the standard language, not for questions about vend
objective-c	"should be used only on questions that are about Objective-C features or depend on code in the language. The tags ""cocoa"" and ""cocoa-touch"" should be used to ask about Apple's frameworks or cl"
ruby-on-rails	"an open source full-stack web application framework written in Ruby. It follows the popular MVC framework model and is known for its ""convention over configuration"" approach to applic"
c	a general-purpose computer programming language used for operating systems, games and other high performance work and is clearly distinct from C++. It was developed in 1972 by Dennis Ritchie for 
ruby	an open-source dynamic object-oriented interpreted language created by Yukihiro Matsumoto (Matz) in 1993.
sql-server	a relational database management system from Microsoft. Use this tag for all SQL Server editions including Compact, Express, Azure, FastTrack and PDW.
wpf	a subsystem for rendering user interfaces in Windows-based applications.
xml	"a structured document format that defines human- and machine-readable encoding rules.


"
ajax	a technique for creating seamless interactive websites via asynchronous data exchange between client and server. AJAX facilitates communication with the serve
asp.net-mvc	"a Microsoft web application framework that implements the model-view-controller (MVC) pattern. The latest release of the framework 
offers REST-style web services develop"
regex	"Regular expressions (often shortened to ""regex"") are a declarative language used for pattern matching within strings. Please also include a tag specifying the programming language or tool you are usin"
database	an organized collection of data typically used to model certain situations. Use this tag if you have questions about designing a database. If it is about a particular database management
arrays	an ordered data structure consisting of a collection of elements (values or variables), each identified by one (single dimensional array, or vector) or multiple indexes. 
django	an open source Web 2.0 application framework, written in Python. Its primary goal is to ease the creation of complex database-driven websites.
linux	specific to the GNU/Linux operating system. If your question has nothing to do with Linux APIs or Linux-specific behaviour then do not use this tag, even if you are running on L
xcode	Apple's integrated development environment (IDE). This tag should only be used for questions about Xcode itself, and not for general Mac or iOS programming topics. Use [cocoa] for Mac program
json	a lightweight data exchange format inspired by JavaScript object literals. It is often used with JavaScript, Ajax, and RESTful web services but is completely langu
windows	a family of client, server, and mobile operating systems, developed by Microsoft. If your question has nothing to do with Windows APIs or Windows-specific behaviour then do not use this tag
vb.net	an object-oriented computer programming language that can be viewed as an evolution of Microsoft's Visual Basic 6 (VB6) but implemented on the Microsoft .NET Framework.
eclipse	an open source IDE with plugins available to support a large variety of languages. This tag should only be used for questions about the Eclipse IDE and not for generalized programming topic
ruby-on-rails-3	an open-source web development framework written in Ruby. Ruby on Rails follows the principle of convention over configuration, freeing you from having to re-invent things to stay pro
facebook	Facebook Platform lets developers integrate their apps directly into the Facebook social networking service.
string	a sequence of zero or more characters. It is commonly used to represent text or a sequence of bytes.
multithreading	how work performed by a computer can be divided into multiple concurrent streams of execution (generally referred to as threads).
winforms	the informal term given to Windows Forms, one of the graphical application programming interface (API) included as a part of Microsoft .NET Framework. WinForms provides access to the nativ
html5	HTML5 (HyperText Markup Language, version 5) is the latest iteration of HTML.  It introduces new elements and APIs including semantic structural elements such as <nav> and <section>. Work on an update
image	is for questions related to the loading, formatting, saving, compression, and display of images. This tag should also be used for assistance using various image libraries.
visual-studio-2010	an integrated development environment (IDE) from Microsoft. Use this tag only for questions arising from the use of this particular version of Visual Studio, and not about any co
r	"a free, open source programming language and software environment for statistical computing, bioinformatics and graphics.
It is advised to supplement your question with a reproducible example (h"
asp.net-mvc-3	the third major version of Model-View-Controller extension for developing web applications in a .NET framework. 
wordpress	an open source content management system running on PHP and MySQL, and often used as a blog engine. WordPress questions not about programming are best asked on http://wordpress.stackexcha
performance	For questions pertaining to the measurement or improvement of code efficiency.
